date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:43	125/125	---M-Z	200	added ('OK')	text/plain	etag:%2274-595fbc8f7542a-gzip%22	https://www.cosapiinmobiliaria.com.pe/robots.txt		(from )
21:49:43	498405/498405	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Nov%202019%2002:49:43%20GMT	https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/index4dce.html	(from )
21:49:44	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	https://www.google-analytics.com/analytics.js	/home/slim/websites/Cosapi/www.google-analytics.com/analytics.js	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:44	105762/105762	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2001%20Nov%202019%2002:49:44%20GMT	https://connect.facebook.net/en_US/fbevents.js	/home/slim/websites/Cosapi/connect.facebook.net/en_US/fbevents.js	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:44	11502/11502	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:%222cee-595fbc8eb4dff-gzip%22	https://www.cosapiinmobiliaria.com.pe/favicon.ico	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/favicon.ico	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:45	67935/67935	---M-Z	200	added ('OK')	text/css	etag:%221095f-59629e928bfb2-gzip%22	https://www.cosapiinmobiliaria.com.pe/build/vendor.css	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/build/vendor.css	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:45	993/993	---M-Z	200	added ('OK')	text/css	etag:%223e1-59629e928bfb2-gzip%22	https://www.cosapiinmobiliaria.com.pe/build/loader.css	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/build/loader.css	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:46	143812/143812	---M-Z	200	added ('OK')	text/css	etag:%22231c4-59629e928bfb2-gzip%22	https://www.cosapiinmobiliaria.com.pe/build/app.css	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/build/app.css	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:46	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	/home/slim/websites/Cosapi/use.fontawesome.com/releases/v5.7.2/css/all.css	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:47	9162/9162	---M-Z	200	added ('OK')	image/svg+xml	etag:%2223ca-595fbc8eb4dff-gzip%22	https://www.cosapiinmobiliaria.com.pe/resources/logo.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/resources/logo.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:47	54852/54852	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Nov%202019%2002:49:47%20GMT	https://www.cosapiinmobiliaria.com.pe/nosotros/	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/nosotros/index.html	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:47	498405/498405	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Nov%202019%2002:49:47%20GMT	https://www.cosapiinmobiliaria.com.pe/	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/index.html	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:47	42667/42667	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Nov%202019%2002:49:47%20GMT	https://www.cosapiinmobiliaria.com.pe/convenios-beneficios	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/convenios-beneficios.html	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:48	42489/42489	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Nov%202019%2002:49:47%20GMT	https://www.cosapiinmobiliaria.com.pe/servicio-cliente	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/servicio-cliente.html	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:48	36713/36713	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Nov%202019%2002:49:48%20GMT	https://www.cosapiinmobiliaria.com.pe/contactenos	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/contactenos.html	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:48	4688/4688	---M-Z	200	added ('OK')	image/svg+xml	etag:%221250-595fbc8f88cac-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/prana_isotipo.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/prana_isotipo.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:49	3996/3996	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f9c-595fbc8f7830b-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/duplo_isotipo.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/duplo_isotipo.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:49	6267/6267	---M-Z	200	added ('OK')	image/svg+xml	etag:%22187b-595fbc8f7d12b-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/nesta_isotipo.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/nesta_isotipo.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:49	1290/1290	---M-Z	200	added ('OK')	image/svg+xml	etag:%2250a-595fbc8f792ab-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/epiqe_isotipo.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/epiqe_isotipo.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:49	669/669	---M-Z	200	added ('OK')	image/svg+xml	etag:%2229d-592b3537b1b02-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/3da931afd9563e9aaa89eed71eb7119d.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/3da931afd9563e9aaa89eed71eb7119d.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:50	3612/3612	---M-Z	200	added ('OK')	image/svg+xml	etag:%22e1c-595fbc8f8bb8c-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/velia_isotipo.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/velia_isotipo.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:50	9221/9221	---M-Z	200	added ('OK')	image/svg+xml	etag:%222405-595fbc8f88cac-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/prana_logo.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/prana_logo.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:50	12286/12286	---M-Z	200	added ('OK')	image/svg+xml	etag:%222ffe-595fbc8f7830b-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/duplo_logo.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/duplo_logo.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:50	14925/14925	---M-Z	200	added ('OK')	image/svg+xml	etag:%223a4d-595fbc8f7d12b-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/nesta_logo.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/nesta_logo.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:50	4845/4845	---M-Z	200	added ('OK')	image/svg+xml	etag:%2212ed-592b353a0f2a9-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/6d2fef2958f17ead97b919624490ce8c.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/6d2fef2958f17ead97b919624490ce8c.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:51	7776/7776	---M-Z	200	added ('OK')	image/svg+xml	etag:%221e60-592b3534fd4b6-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/2c28750ecce331d310dd8aa194ab1918.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/2c28750ecce331d310dd8aa194ab1918.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:51	9486/9486	---M-Z	200	added ('OK')	image/svg+xml	etag:%22250e-595fbc8f8bb8c-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/velia_logo.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/velia_logo.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:51	1349/1349	---M-Z	200	added ('OK')	image/svg+xml	etag:%22545-592b35248856b-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/attributes/vista-privilegiada_975d1e1573f0dac398d2a9fb4bea8a1e_867cde0c7819a51bd1d22b21ee6ecebf.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/attributes/vista-privilegiada_975d1e1573f0dac398d2a9fb4bea8a1e_867cde0c7819a51bd1d22b21ee6ecebf.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:52	749/749	---M-Z	200	added ('OK')	image/svg+xml	etag:%222ed-592b351866d27-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/attributes/calidad-acabados_c49dfe5b41a8a51700a2dafe73349227.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/attributes/calidad-acabados_c49dfe5b41a8a51700a2dafe73349227.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
